Acronym,Meaning
BSE ,"  Bovine Spongiform Encephalopathy, better known as mad cow disease"
BSN,"Baloncesto Superior Nacional (Spanish, ""National Superior Basketball""; top Puerto Rican league),Bank Simpanan Nasional (Malay, ""National Savings Bank""; government"
BSNL,"Bharat Sanchar Nigam Limited, Bachelor of Science in Nursing,BSoD "
BSP, Between
BST," Binary search tree,Blended Sales Tax, Bovine somatotropin, British Summer Time,BSW "
Bt," Baronet,Bacillus thuringiensis"
BT," Baal teshuva (Hebrew, ""master of repentance"") "
BTN," Bhutan (ISO 3166 trigram),Bhutanese ngultrum (ISO 4217 currency code),BTO "
c ,  Centi
C ,  Carbon 
c2c ,  the British rail company formerly known as LTS Rail
C2C ,  Consumer
ca ,  Catalan language (ISO 639
Ca ,  Calcium
CA," California (postal symbol),Canada (FIPS 10"
CAA," Canadian Automobile Association,(NORAD) Center for Aerospace Analysis,(U.S.) Center for Army Analysis,(U.S.) Clean Air Act,(U.S. Army) Concepts Analysis Agency,Civil Aviation Authority,Colonial Athletic Association"
CAAT," or  Campaign Against Arms Trade,Center for Alternatives to Animal Testing"
CAC," California Association of Criminalists,Chronic Asymptomatic [Disease] Carrier,CACM  Central American Common Market"
CACM ,  Communications of the ACM
CAD," Canadian dollar (ISO 4217 currency code), Computer"
CADCAM ,  Computer
CADPAT ,  CAnadian Disruptive PATtern
CADMID ,"  Concept, Assessment, Demonstration, Manufacture, In service, Disposal (life cycle mnemonic)"
CAE," Canadian Aviation Electronics (originally),Certificate in Advanced English"
CAEn , (i/a) Close Action Engagement (constructive simulation)
CAF," Central African Republic (ISO 3166 trigram), Confederation of African Football (or French Confédération Africaine de Football)"
CAFAD ,  Combined Arms For Air Defence
CAFDE," Canadian Association of Film Distributors and Exporters,Computer Aided Federation Development Environment"
CAFE ,  Corporate Average Fuel Economy standard
CAI ,  Computer Assisted Instruction
CAIR ,  Council on American
CALABARZON ,"  A region in the Philippines: CAvite, LAguna, BAtangas, Rizal, queZON"
CALL ,  (U.S.) Center for Army Lessons Learned
CALM ,"  Communications, Air"
CalPERS ,  California Public Employees' Retirement System
Caltrans ,  California Department of Transpotation
CAM," Chemical Agent Monitor,Complementary and alternative medicine,Computer"
CAMRA ,  CAMpaign for Real Ale
CAN ,  Canada (ISO 3166 trigram)
CANA ,"  Convulsive Antidote, Nerve Agent"
CANDU ,  CANada Deuterium Uranium (nuclear reactor design)
Canola ,"  Canadian oil, low acid (referring to a specific cultivar of rapeseed bred to have a low erucic acid content)"
CAP," Combat Air Patrol,Civil Air Patrol,Common [Operating/Operational] Air Picture,Crisis Action Procedures,Common Agricultural Policy (European Union)"
CAPES," CAPability Evaluation System, Combined Arms Planning and Execution System"
CARE," Citizens Association for Racial Equality (former New Zealand organisation), Community database on Accidents on the Roads in Europe, Cooperative for Aid and Relief Everywhere (originally Cooperative for American Remittances to Europe)"
CARMONETTE ,  Computerized Monte Carlo Simulation
CARP ,  Computed Air Release Point
CART ,  Championship Auto Racing Teams (now defunct)
CAS," Chemical Abstracts Service,Chief of the Air Staff,Close Air Support"
CASA ,  Civil Aviation Safety Authority
CASE," Cellular ammunition storage equipment,Computer"
CASS ,  Command Activated Sonobuoy System
CASTFOREM ,  Combined Arms and Support Task FORce Evaluation Model
CASTOR ,  Canadian Automatic Small Telescopes for Orbital Research
cat ,  Catalan language (ISO 639
CAT," Community Acceptance Testing,Computer"
CATK ,  Counterattack
CATS ,  Computer Active Technology Suspension
CATT , (a/i) Combined Arms Tactical Trainer
CAV ,  Cavalry
CAVOK ,"  Ceiling And Visibility OK (""Kav"
CAW ,  Canadian Auto Workers (trade union)
CB," Citizens' Band radio, Cambodia (FIPS 10"
CBASSE ,"  Commission on Behavioral And Social Sciences and Education (""sea bass"")"
CBC," Canadian Broadcasting Corporation,Christmas Bird Count,Cipher"
CBE," Commander of the Order of the British Empire,Cab Beside Engine (see truck)"
CBF ,"  Confederação Brasileira de Futebol (Portuguese, ""Brazilian Football Confederation"")"
CBGB ,"  Country, Blue Grass, and Blues (former New York City nightclub)"
CBLA ,  Comparative bullet lead analysis
CBN , CardsApp Brand Number
CBM ," many, including Canadian Baptist Ministries and Commodore Business Machines; see entry"
CBML ,  Coalition Battle Management Language
CBOL ,  Consortium for the Barcode of Life
CBOT ,  Chicago Board of Trade
CBR ,  Case
CBRN ,"  Chemical, Biological, Radiological, or Nuclear (weapon or event)"
CBRNE ,"  Chemical, Biological, Radiological, Nuclear or [high"
CBS," Columbia Broadcasting System,Corps Battle Simulation"
CBT," Cognitive Behaviour Therapy, Combat"
CBUS ,"  Columbus, Ohio"
CC ," many, including carbon copy; see entry"
CCA ,  Counter Command Activity
CCC," Canterbury Clothing Company,Civilian Conservation Corps (U.S., 1930s and 1940s),Corpus Christi College, Oxford"
CCCP," Central Committee of the Communist Party,Cyrillic for SSSR (Soyuz Sovetskikh Sotsialisticheskikh Respublik, Russian ???? ????????? ???????????????? ?????????, Union of Soviet Socialist Republics)"
CCD, Charge
CCF ,  Cartoon Cartoon Fridays
CCG," Canadian Coast Guard,Collectible Card Game"
CCGC," Canadian Coast Guard Cutter,Canadian Coast Guard College"
CCGH ,  Canadian Coast Guard Hovercraft
CCGS," Canadian Coast Guard Ship,Christ Church Grammar School"
CCH ,  Computer
CCIF ,"  Comité consultatif international des communications téléphoniques à grande distance (French for International Telephone Consultative Committee, merged with the CCIT in 1956 to form the CCITT)"
CCII," Command and Control Information Infrastructure,Community Capital Investment Initiative"
CCIR," Comité consultatif international pour la radio (French for Consultative Committee on International Radio, became the ITU Radiocommunication Sector, ITU"
CCIT ,"  Comité consultatif international télégraphique (French for International Telegraph Consultative Committee, merged with the CCIF in 1956 to form the CCITT)"
CCITT ,"  Comité consultatif international téléphonique et télégraphique (French for International Telegraph and Telephone Consultative Committee, became the ITU Telecommunication Standardization Sector, ITU"
CCK," Cholecystokinin, Cocos (Keeling) Islands (ISO 3166 trigram)"
CCM," Canada Cycle & Motor Co. Ltd. (now split into two separate companies bearing the CCM name, one manufacturing bicycles and the other ice hockey equipment),Contemporary Christian music"
CCOC," Canadian Children's Opera Chorus,Crosley Car Owners Club"
CCOP ,  Coalition Common Operating/Operational Picture
CCP," Casualty Collection Point,Communications Checkpoint,Contingency Communications Package"
CCPA ,  Consumer Credit Protection Act
CCR ,  Creedence Clearwater Revival
CCRAp ,  Canadian Conservative Reform Alliance party
CCRP ,  Command and Control Research Program
CCRTS ,  Command and Control Research and Technology Symposium
CCSCS ,  Coordinadora de Centrales Sindicales del Cono Sur
CCSCS ,  Consultative Committee for Space Data Systems
CCSIL ,"  Command and Control Simulation Interface Language (""cecil"")"
CCSK ,  Cyclic Code Shift Keying
CCT ,  Current Commitments Team
CCTT ,  Close Combat Tactical Trainer
cd ,  Candela
Cd ,  Cadmium
CD ," many, including Compact Disc; see entry"
CD1 ,  Cluster of Differentiation 1 (a small gene family)
CDA ,  UK Centre for Defence Analysis
CDC," Centers for Disease Control and Prevention (originally (U.S.) Communicable Disease Center),Control Data Corporation,Cult of the Dead Cow"
CDD ,  Capabilities Development Document
CDE ,  Chemical Defence Equipment
CDEC ,  U.S. Combat Development Experimentation Center
CDF," California Department of Forestry [and Fire Protection],Common Data Format, Democratic Republic of Congo franc congolais (ISO 4217 currency code)"
CDIAC ,"  Carbon Dioxide Information Analysis Center (""see"
CDipAF ,  Certified Diploma in Accounting and Finance
CDL ,  Commercial driver's license
CDM," Clean Development Mechanism (Kyoto protocol),Cold Dark Matter (astronomy)"
CDMA ,  Code Division Multiple Access
CDMSII ,  Cryogenic Dark Matter Search II
Cdr ,  Commander
CDS," Chief of the Defence Staff,Credit default swap"
Cdt ,  Commandant
CDT ,  Central Daylight Time (UTC?5 hours)
ce ,  Chechen language (ISO 639
Ce ,  Cerium
CE ," many, including Christian/Common Era (cf. AD); see entry"
CEA ,  Campaign Effectiveness Analysis
CECOM ,  U.S. Army Communications and Electronics Command
CEDEX ,"  Courrier d'entreprise à distribution exceptionnelle (French, ""Company Mail with Exceptional Distribution""; ""exceptional"" refers to the volume of mail)"
CEGEP ,"  Collège d'enseignement général et professionnel (French, ""College of General and Vocational Education"")"
CEI ,  Competitive Enterprise Institute
CENTCOM ,  United States Central Command
CENTO ,  Central Treaty Organization (Baghdad Pact)
CENZUB ,"  Centre d'entraînement aux actions en zone urbaine (French, ""Urban Operations Training Centre"")"
CEO ,  Chief Executive Officer
CEP ,  Circular Error Probable
CEPT ," (a/i) Conférence européenne des administrations des postes et des télécommunications (French, ""European Conference of Postal and Telecommunications Administrations"")"
CERCLA ,"  U.S. Comprehensive Environmental Response, Compensation, and Liability Act (Superfund)"
CERDEC , U.S. Communications
CERGA ,"  Centre de recherches en géodynamique et astrométrie (French, ""Astrometry and Geodynamics Research Centre"")"
CERN ,"  Centre européen pour la recherche nucléaire (French, ""European Organization for Nuclear Research"")"
CERT ,  Computer Emergency Response Team
ces ,  Czech language (ISO 639
CESS ,  Centre for Earth Science Studies (India)
CEV," Combat Engineer Vehicle,Confédération européenne de volleyball (French, ""European Volleyball Confederation""),Crew Exploration Vehicle"
CEWC , (a/i) Council for Education in World Citizenship
Cf ,  Californium
CF," Canadian Forces, Central African Republic (ISO 3166 digram),Republic of the Congo (FIPS 10"
CFA," Cat Fanciers' Association,Chartered Financial Analyst,Colour Filtering Array,County Fire Authority,Covering Force Area"
CFAR," Christine's,Federal Acquisition Regulation"
CFC," ChloroFluoroCarbon,Canadian Fish Company"
CFES ,  Continuous Flow Electrophoresis System
CFFZ ,  Call For Fire Zone
CFG, Context
CFHT ,  Canada
CFI ,  Center for Inquiry (CSICOP)
CFL," Canadian Football League,Co"
CFLCC ,  Coalition Forces Land Component Command
CFM ,  Certified Facilities Manager [(IFMA)]http://www.ifma.org/
CFO ,  Chief Financial Officer
CFP," Call for papers,College Football Playoff,Common Fisheries Policy (EU)"
CFR," Code of Federal Regulations,C?ile Ferate Române (Romanian, ""Romanian Railways"")"
CFRP ,  Carbon fibre reinforced plastic
CFS ,  Chronic Fatigue Syndrome
CFSP ,  Common Foreign and Security Policy
CFU ,  Colony Forming Unit in Microbiology
CFV ,  Cavalry Fighting Vehicle
CFZ ,  Critical Friendly Zone
CG ,  Client Group 
CGDC ,  Computer Game Developers Conference (became GDC in 1998)
CGF ,  Computer
CGH ,  Comparative Genomic Hybridisation
CGIG ,  Cross
CGM ,  Computer Graphics Metafile
CGO ,"  Republic of the Congo (IOC and FIFA trigram, but not ISO 3166)"
CGS ,  Chief of the General Staff
CGT ,  Capital Gains Tax
ch ,  Chamorro language (ISO 639
ch , ch(L) is used to denote the Chern character of a line bundle
CH ,  Chieftain tank 
cha ,  Chamorro language (ISO 639
CHAMPUS ,  (U.S.) Civilian Health and Medical Program of the Uniformed Services (now known as TRICARE)
CHAOS ,  Cambridge Heart Anti
CHAPS ,  Clearing House Automated Payment System
CHDK ,  Canon Hack Development Kit (Canon camera firmware hack)
che ,  Chechen language (ISO 639
CHE ,  Switzerland (ISO 3166 trigram; from Latin Confoederatio Helvetica)
CHF ,  Swiss franc (ISO 4217 currency code)
CHI ,"  Columbia Helicopters, Inc"
CHI ,  Computer
CHiP ,  California Highway Patrol
CHIPS ,  Cosmic Hot Interstellar Plasma Spectrometer
CHL ,  Chile (ISO 3166 trigram)
CHLA ,  Core Historical Literature of Agriculture
CHN ,  China (ISO 3166 trigram)
CHOGM ,  Commonwealth Heads of Government Meeting
CHP ,  California Highway Patrol 
CHPSO ,  California Hospital Patient Safety Organization
CHS ,  Combat Health Support
CHT ,  Certified Hand Therapist
chu ,  Old Church Slavonic language (ISO 639
chv ,  Chuvash language (ISO 639
CREN ,  Christian Real Estate Network Real Estate Association
Ci ,  Curie
CI, Chile (FIPS 10
CIA," Cairo International Airport,Central Intelligence Agency,Culinary Institute of America"
CIAO," Critical Infrastructure Assurance Office,Component"
CIB ,  Complete In Box (Internet auction/trading listings)
CIBC ,  Canadian Imperial Bank of Commerce
CICS ,"  Customer Information Control System (IBM mainframe software; ""kicks"" or ""C"
CID," Combat Identification, Criminal Investigation Division,Criminal Investigations Department"
CID , Certified Interior Designer 
CIEF ,  Comité international d'enregistrement des fréquences (International Frequency Registration Board)
CIF ,"  Cost, Insurance, and Freight (Paid) (shipping)"
CIMIC ,  Civil
CIMMYT ," (a/i) Centro Internacional de Mejoramiento de Maíz Y Trigo (Spanish, ""International Maize and Wheat Improvement Center"")"
CINC ,  Commander in Chief
CINEOS ,  Campo Imperatore Near
CIO," Chief information officer,Congress of Industrial Organizations"
CIP ,  Combat Identification Panel
CIPE ,  (European) Centre for International Political Economy
CIR ,  (Commander's) Critical Information Requirements
CIR ,  Corotating Interaction Region
CIS," Canadian Interuniversity Sport,Commonwealth of Independent States,Command and Information System,Communication and Information System"
CISA ,  (U.S.) C4I Integration Support Activity
CISB ,  Complete In Sealed Box (Internet auction/trading listings)
CISPR ,  Comité international spécial des perturbations radioélectriques (Special International Committee on Radio Interference)
CISSP ,  Certified Information Systems Security Professional
CITES ,"  Convention on International Trade in Endangered Species (of Wild Fauna and Flora) (""sigh"
CITS ,  Combat Identification Training System
CIV ,  Côte d'Ivoire (ISO 3166 trigram)
CIVETS ,"  Colombia, Indonesia, Vietnam, Egypt, Turkey, South Africa (economics)"
CIVPOP ,  Civilian Population
CIWS ,  Close
CHRS , Canadian Heart Rhythm Society
CJ ,  Cayman Islands (FIPS 10
CJC ,  Canadian Jewish Congress 
CJD ,  Chronological Julian Day 
CJCS ,  Chairman of the Joint Chiefs of Staff
CJO ,  Chief of Joint Operations
CJTF ,  Combined Joint Task Force
CK ,  Cocos (Keeling) Islands (FIPS 10
CKA ,"  commonly known as,  Canada Kicks Ass"
CKND , Codename: Kids Next Door
Cl ,  Chlorine
CL ,  Chile (ISO 3166 digram) 
CLA ,  Clutterers Anonymous
CLEC ,  Competitive Local Exchange Carrier
CLEMARS ,  California Law Enforcement Mutual Aid Radio System
CLI ,  Command Line Interface/Interpreter
CLIC ,  Compact LInear Collider
CLO ,  Cornell Lab of Ornithology
CLOB ,  Character Large OBject
CLOS ,  Command to Line
CLOS ,  Common Lisp Object System
CLP ,  Chilean peso (ISO 4217 currency code) 
CLPFC ,  CentroLateral PreFrontal Cortex
CLRP ,  College Loan Repayment Program
Cm ,  Curium
CM, Cameroon (FIPS 10
CMA," U.S. Chemical Materials Agency,Country Music Association (also used to refer to the organization's annual awards),Crystal Meth Anonymous"
CMB ,  Cosmic Microwave Background
CMBR ,  Cosmic Microwave Background Radiation
CME ,  Coronal Mass Ejection (usually Sun)
CMHC ,  Canada Mortgage and Housing Corporation
CMIIAW ,  Correct me if I am wrong
CMIS," Content Management Interoperability Services,Common management information service"
CMJ ,  Christopher Martin
CML," Chemical, Chronic Myelogenous Leukemia (formerly Chronic Myeloid Leukemia)"
CMLL ,"  Consejo Mundial de Lucha Libre (Spanish, ""Worldwide Wrestling Council""—Mexican professional wrestling promotion)"
